City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
54,sajanan,37.0573,9.2426,282.66,86,19,2.3,TN,1675638399
55,north branch,45.5113,-92.9802,272.21,93,21,1.28,US,1675638400
56,vila franca do campo,37.7167,-25.4333,288.38,82,67,3.47,PT,1675638400
57,mana,5.6592,-53.7767,297.34,89,100,5.7,GF,1675638167
58,bredasdorp,-34.5322,20.0403,294.05,85,100,4.07,ZA,1675638401
59,izumo,35.3667,132.7667,272.12,100,40,2.06,JP,1675638227
60,husavik,66.0449,-17.3389,280.78,80,100,14.79,IS,1675638402
61,promyshlennyy,67.5833,63.9167,255.21,98,100,2.62,RU,1675638402
62,lompoc,34.6391,-120.4579,289.65,75,75,9.26,US,1675637823
63,barzas,55.7167,86.3167,248.99,100,78,1.33,RU,1675638403
64,lodja,-3.4833,23.4333,294.19,82,100,0.5,CD,1675638403
65,port elizabeth,-33.918,25.5701,298.2,97,65,5.81,ZA,1675638404
66,hamilton,39.1834,-84.5333,283.63,60,0,5.66,US,1675638405
67,yellowknife,62.456,-114.3525,252.9,77,100,5.14,CA,1675638118
68,punta gorda,26.9298,-82.0454,297.58,81,0,4.02,US,1675638351
69,paamiut,61.994,-49.6678,263.65,79,100,9.32,GL,1675638406
70,castro,-24.7911,-50.0119,291.77,78,56,2.45,BR,1675638121
71,albany,42.6001,-73.9662,278.18,54,95,2.22,US,1675638381
72,garissa,-0.4536,39.6401,297.91,68,9,4.44,KE,1675638407
73,olkhovatka,50.2831,39.2872,265.34,97,100,2.81,RU,1675638407
74,constitucion,-35.3333,-72.4167,290.49,82,17,3.05,CL,1675638408
75,necochea,-38.5473,-58.7368,297.59,48,61,2.8,AR,1675638408
76,chuy,-33.6971,-53.4616,293.03,77,0,3.48,UY,1675638409
77,chajul,15.4853,-91.0342,287.63,68,8,2.5,GT,1675638409
78,cadillac,44.2519,-85.4012,271.92,93,100,3.09,US,1675638121
79,ahipara,-35.1667,173.1667,292.46,94,94,3.4,NZ,1675638176
80,mount isa,-20.7333,139.5,299.02,94,100,4.12,AU,1675638410
81,tasiilaq,65.6145,-37.6368,268.24,96,100,2.03,GL,1675638411
82,hilo,19.7297,-155.09,300.53,84,100,3.09,US,1675638007
83,ilulissat,69.2167,-51.1,256.16,85,100,9.77,GL,1675638412
84,taree,-31.9,152.4667,299.3,57,44,1.33,AU,1675638413
85,kupang,-10.1667,123.5833,299.47,89,75,0.51,ID,1675638413
86,kayerkan,69.3497,87.7602,256.33,97,97,1.67,RU,1675638414
87,alice springs,-23.7,133.8833,292.9,52,0,0.51,AU,1675638414
88,valdosta,30.8327,-83.2785,292.12,64,0,0.0,US,1675638121
89,woodstock,43.1334,-80.7497,276.0,80,98,4.02,CA,1675638409
90,ostrovskoye,57.8057,42.2433,261.09,99,94,0.69,RU,1675638415
91,rudnogorsk,57.2639,103.7519,259.03,97,100,1.78,RU,1675638416
92,porto novo,6.4965,2.6036,300.08,85,100,3.98,BJ,1675638417
93,coquimbo,-29.9533,-71.3436,294.0,73,0,5.14,CL,1675638418
94,sao filipe,14.8961,-24.4956,294.42,63,96,7.7,CV,1675638418
95,fortuna,40.5982,-124.1573,283.14,94,75,3.09,US,1675638419
96,gamba,-2.65,10.0,298.64,82,62,1.07,GA,1675638419
97,upernavik,72.7868,-56.1549,248.1,95,100,2.75,GL,1675638421
98,darab,28.7519,54.5444,282.3,58,5,0.37,IR,1675638421
99,yumen,40.2833,97.2,270.12,38,73,3.02,CN,1675638422
100,cabinda,-5.55,12.2,298.92,85,70,2.22,AO,1675638423
101,vaini,-21.2,-175.2,301.24,74,75,1.03,TO,1675638423
102,cidreira,-30.1811,-50.2056,296.93,76,64,4.39,BR,1675638424
103,boende,-0.2167,20.8667,298.51,53,79,1.2,CD,1675638424
104,chimoio,-19.1164,33.4833,292.07,84,13,0.95,MZ,1675638425
105,hambantota,6.1241,81.1185,297.67,81,99,5.11,LK,1675638405
106,port alfred,-33.5906,26.891,295.47,95,51,4.52,ZA,1675638426
107,la ronge,55.1001,-105.2842,272.33,93,100,2.84,CA,1675638427
108,tupik,54.4253,119.9327,248.32,92,68,0.71,RU,1675638427
109,livada,47.8667,23.1333,267.08,91,5,2.11,RO,1675638428
